anime_id,anime_title_romaji,anime_title_english,anime_title_native,anime_title_userPreferred,isAdult,type,seasonInt,genres,popularity,meanScore,averageScore,episodes,favourites
226,Elfen Lied,Elfen Lied,エルフェンリート,Elfen Lied,False,ANIME,43.0,"['Action', 'Drama', 'Ecchi', 'Horror', 'Psychological', 'Romance', 'Supernatural']",157164,68.0,68.0,13.0,3086
1535,DEATH NOTE,Death Note,DEATH NOTE,DEATH NOTE,False,ANIME,64.0,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']",529374,84.0,84.0,37.0,33729
4224,Toradora!,Toradora!,とらドラ！,Toradora!,False,ANIME,84.0,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",329792,78.0,78.0,25.0,13291
8769,Ore no Imouto ga Konna ni Kawaii Wake ga Nai,Oreimo,俺の妹がこんなに可愛いわけがない,Ore no Imouto ga Konna ni Kawaii Wake ga Nai,False,ANIME,104.0,"['Comedy', 'Romance', 'Slice of Life']",96364,66.0,66.0,12.0,960
10495,Yuru Yuri,YuruYuri,ゆるゆり,Yuru Yuri,False,ANIME,113.0,"['Comedy', 'Slice of Life']",59971,74.0,74.0,12.0,1295
11111,Another,Another,アナザー,Another,False,ANIME,121.0,"['Horror', 'Mystery', 'Psychological', 'Supernatural', 'Thriller']",234245,71.0,71.0,12.0,4593
11887,Kokoro Connect,Kokoro Connect,ココロコネクト,Kokoro Connect,False,ANIME,123.0,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",120773,75.0,75.0,13.0,2166
13125,Shinsekai yori,From the New World,新世界より,Shinsekai yori,False,ANIME,124.0,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Supernatural']",114148,80.0,80.0,25.0,4246
15051,Love Live! School idol project,Love Live! School Idol Project,ラブライブ! School idol project,Love Live! School idol project,False,ANIME,131.0,"['Comedy', 'Music', 'Slice of Life']",79021,71.0,71.0,13.0,2205
15379,Kotoura-san,The Troubled Life of Miss Kotoura,琴浦さん,Kotoura-san,False,ANIME,131.0,"['Comedy', 'Drama', 'Romance']",50276,68.0,68.0,12.0,548
17729,Grisaia no Kajitsu,The Fruit of Grisaia,グリザイアの果実,Grisaia no Kajitsu,False,ANIME,144.0,"['Drama', 'Ecchi', 'Psychological', 'Romance']",88110,72.0,72.0,13.0,1669
17895,Golden Time,Golden Time,ゴールデンタイム,Golden Time,False,ANIME,134.0,"['Comedy', 'Drama', 'Romance']",147991,75.0,75.0,24.0,4023
18893,Aoki Hagane no Arpeggio: Ars Nova,Arpeggio of Blue Steel,蒼き鋼のアルペジオ,Aoki Hagane no Arpeggio: Ars Nova,False,ANIME,134.0,"['Action', 'Sci-Fi']",23736,70.0,70.0,12.0,242
19111,Love Live! School idol project 2nd Season,Love Live! School Idol Project 2nd Season,ラブライブ! School idol project 2期,Love Live! School idol project 2nd Season,False,ANIME,142.0,"['Comedy', 'Music', 'Slice of Life']",46444,76.0,76.0,13.0,1040
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",My Mental Choices Are Completely Interfering With My School Romantic Comedy,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",False,ANIME,134.0,"['Comedy', 'Ecchi', 'Romance', 'Supernatural']",60919,68.0,68.0,10.0,554
19815,No Game No Life,"No Game, No Life",ノーゲーム・ノーライフ,No Game No Life,False,ANIME,142.0,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy']",335274,78.0,78.0,12.0,12994
20657,Saenai Heroine no Sodatekata,Saekano: How to Raise a Boring Girlfriend,冴えない彼女の育てかた,Saenai Heroine no Sodatekata,False,ANIME,151.0,"['Comedy', 'Romance', 'Slice of Life']",107202,73.0,73.0,13.0,1838
20665,Shigatsu wa Kimi no Uso,Your lie in April,四月は君の嘘,Shigatsu wa Kimi no Uso,False,ANIME,144.0,"['Drama', 'Music', 'Romance', 'Slice of Life']",358658,84.0,84.0,22.0,20978
20800,Yuuki Yuuna wa Yuusha de Aru,Yuki Yuna is a Hero,結城友奈は勇者である,Yuuki Yuuna wa Yuusha de Aru,False,ANIME,144.0,"['Action', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Psychological', 'Slice of Life']",32289,72.0,72.0,12.0,576
20923,Shokugeki no Souma,Food Wars! Shokugeki no Soma,食戟のソーマ,Shokugeki no Souma,False,ANIME,152.0,"['Comedy', 'Ecchi']",252052,79.0,79.0,24.0,7850
21006,Grisaia no Rakuen,The Eden of Grisaia,グリザイアの楽園,Grisaia no Rakuen,False,ANIME,152.0,"['Action', 'Drama', 'Romance']",56588,76.0,76.0,10.0,924
21180,Saenai Heroine no Sodatekata ♭,Saekano: How to Raise a Boring Girlfriend ♭,冴えない彼女の育てかた ♭,Saenai Heroine no Sodatekata ♭,False,ANIME,172.0,"['Comedy', 'Romance', 'Slice of Life']",64634,76.0,76.0,12.0,1130
21238,Anne Happy♪,Anne-Happy,あんハピ♪,Anne Happy♪,False,ANIME,162.0,"['Comedy', 'Slice of Life']",15493,66.0,66.0,12.0,125
21455,NEW GAME!,NEW GAME!,NEW GAME!,NEW GAME!,False,ANIME,163.0,"['Comedy', 'Slice of Life']",81921,75.0,74.0,12.0,1584
21517,Renai Boukun,Love Tyrant,恋愛暴君,Renai Boukun,False,ANIME,172.0,"['Comedy', 'Ecchi', 'Romance', 'Supernatural']",55583,63.0,63.0,12.0,526
21518,Shokugeki no Souma: Ni no Sara,Food Wars! The Second Plate,食戟のソーマ 弍ノ皿,Shokugeki no Souma: Ni no Sara,False,ANIME,163.0,"['Comedy', 'Ecchi']",164102,79.0,79.0,13.0,2473
21563,Clockwork Planet,Clockwork Planet,クロックワーク・プラネット,Clockwork Planet,False,ANIME,172.0,"['Drama', 'Ecchi', 'Fantasy', 'Romance', 'Sci-Fi']",26458,57.0,57.0,12.0,231
21584,Love Live! Sunshine!!,Love Live! Sunshine!!,ラブライブ！サンシャイン!!,Love Live! Sunshine!!,False,ANIME,163.0,"['Music', 'Slice of Life']",41354,72.0,72.0,13.0,1286
21613,Youjo Senki,Saga of Tanya the Evil,幼女戦記,Youjo Senki,False,ANIME,171.0,"['Action', 'Fantasy']",139917,77.0,77.0,12.0,4863
21659,Amaama to Inazuma,Sweetness & Lightning,甘々と稲妻,Amaama to Inazuma,False,ANIME,163.0,"['Comedy', 'Slice of Life']",53774,73.0,73.0,12.0,743
21685,Eromanga Sensei,Eromanga Sensei,エロマンガ先生,Eromanga Sensei,False,ANIME,172.0,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Slice of Life']",120186,60.0,60.0,12.0,1583
21699,Kono Subarashii Sekai ni Shukufuku wo! 2,KONOSUBA -God's blessing on this wonderful world! 2,この素晴らしい世界に祝福を！2,Kono Subarashii Sekai ni Shukufuku wo! 2,False,ANIME,171.0,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy']",215253,81.0,81.0,10.0,6698
21700,Rokudenashi Majutsu Koushi to Akashic Records,Akashic Records of Bastard Magic Instructor,ロクでなし魔術講師と禁忌教典(アカシックレコード),Rokudenashi Majutsu Koushi to Akashic Records,False,ANIME,172.0,"['Action', 'Comedy', 'Fantasy']",105590,68.0,68.0,12.0,1782
21701,Kuzu no Honkai,Scum's Wish,クズの本懐,Kuzu no Honkai,False,ANIME,171.0,"['Drama', 'Ecchi', 'Psychological', 'Romance']",113448,69.0,69.0,12.0,2383
21731,Hand Shakers,Hand Shakers,ハンドシェイカー,Hand Shakers,False,ANIME,171.0,['Action'],18013,42.0,42.0,12.0,74
21776,Kobayashi-san Chi no Maidragon,Miss Kobayashi's Dragon Maid,小林さんちのメイドラゴン,Kobayashi-san Chi no Maidragon,False,ANIME,171.0,"['Comedy', 'Fantasy', 'Slice of Life']",203551,79.0,79.0,13.0,8040
